0.000000000000000000e+00, 2.007200000000000000e+04
1.245150203068064442e-05, 3.237400000000000000e+04
2.490300406136128884e-05, 4.111000000000000000e+04
3.735450609204193326e-05, 4.501400000000000000e+04
4.980600812272257768e-05, 4.558300000000000000e+04
6.225751015340322888e-05, 4.394300000000000000e+04
7.470901218408386652e-05, 4.045700000000000000e+04
8.716051421476451772e-05, 3.615000000000000000e+04
9.961201624544515536e-05, 3.113500000000000000e+04
1.120635182761258066e-04, 2.629800000000000000e+04
1.245150203068064578e-04, 2.132500000000000000e+04
1.369665223374870954e-04, 1.734600000000000000e+04
1.494180243681677330e-04, 1.413400000000000000e+04
1.618695263988483978e-04, 1.152100000000000000e+04
1.743210284295290354e-04, 1.008100000000000000e+04
1.867725304602096731e-04, 1.018900000000000000e+04
1.992240324908903107e-04, 1.125800000000000000e+04
2.116755345215709755e-04, 1.324000000000000000e+04
2.241270365522516131e-04, 1.656400000000000000e+04
2.365785385829322508e-04, 2.047800000000000000e+04
2.490300406136129155e-04, 2.499100000000000000e+04
2.614815426442935260e-04, 3.003100000000000000e+04
2.739330446749741908e-04, 3.509100000000000000e+04
2.863845467056548555e-04, 4.015300000000000000e+04
2.988360487363354661e-04, 4.513600000000000000e+04
3.112875507670161308e-04, 4.867600000000000000e+04
3.237390527976967956e-04, 5.239600000000000000e+04
3.361905548283774061e-04, 5.432900000000000000e+04
3.486420568590580709e-04, 5.526100000000000000e+04
3.610935588897386814e-04, 5.522600000000000000e+04
3.735450609204193462e-04, 5.412600000000000000e+04
3.859965629511000109e-04, 5.155900000000000000e+04
3.984480649817806214e-04, 4.821100000000000000e+04
4.108995670124612862e-04, 4.383800000000000000e+04
4.233510690431419509e-04, 3.951700000000000000e+04
4.358025710738225615e-04, 3.404100000000000000e+04
4.482540731045032262e-04, 2.907800000000000000e+04
4.607055751351838910e-04, 2.384800000000000000e+04
4.731570771658645015e-04, 1.941000000000000000e+04
4.856085791965451663e-04, 1.586300000000000000e+04
4.980600812272258310e-04, 1.307600000000000000e+04
5.105115832579064416e-04, 1.083400000000000000e+04
5.229630852885870521e-04, 1.021400000000000000e+04
5.354145873192677711e-04, 1.076400000000000000e+04
5.478660893499483816e-04, 1.226900000000000000e+04
5.603175913806289921e-04, 1.472500000000000000e+04
5.727690934113097111e-04, 1.864300000000000000e+04
5.852205954419903216e-04, 2.305100000000000000e+04
5.976720974726709322e-04, 2.760800000000000000e+04
6.101235995033516511e-04, 3.287100000000000000e+04
6.225751015340322617e-04, 3.758100000000000000e+04
6.350266035647128722e-04, 4.274600000000000000e+04
6.474781055953935912e-04, 4.693600000000000000e+04
6.599296076260742017e-04, 5.073800000000000000e+04
6.723811096567548122e-04, 5.355900000000000000e+04
6.848326116874355312e-04, 5.491500000000000000e+04
6.972841137181161417e-04, 5.539400000000000000e+04
7.097356157487967523e-04, 5.473300000000000000e+04
7.221871177794773628e-04, 5.287300000000000000e+04
7.346386198101580818e-04, 4.974900000000000000e+04
7.470901218408386923e-04, 4.617800000000000000e+04
7.595416238715193029e-04, 4.163900000000000000e+04
7.719931259022000218e-04, 3.652900000000000000e+04
7.844446279328806323e-04, 3.125600000000000000e+04
7.968961299635612429e-04, 2.620900000000000000e+04
8.093476319942419618e-04, 2.113200000000000000e+04
8.217991340249225724e-04, 1.720300000000000000e+04
8.342506360556031829e-04, 1.391200000000000000e+04
8.467021380862839019e-04, 1.151100000000000000e+04
8.591536401169645124e-04, 9.989000000000000000e+03
8.716051421476451230e-04, 1.028000000000000000e+04
8.840566441783258419e-04, 1.139000000000000000e+04
8.965081462090064525e-04, 1.331700000000000000e+04
9.089596482396870630e-04, 1.680400000000000000e+04
9.214111502703677820e-04, 2.087300000000000000e+04
9.338626523010483925e-04, 2.541600000000000000e+04
9.463141543317290030e-04, 3.030900000000000000e+04
9.587656563624097220e-04, 3.532900000000000000e+04
9.712171583930903325e-04, 4.038600000000000000e+04
9.836686604237710515e-04, 4.531600000000000000e+04
9.961201624544516620e-04, 4.885600000000000000e+04
1.008571664485132273e-03, 5.265000000000000000e+04
1.021023166515812883e-03, 5.447300000000000000e+04
1.033474668546493494e-03, 5.531900000000000000e+04
1.045926170577174104e-03, 5.517500000000000000e+04
1.058377672607854932e-03, 5.387200000000000000e+04
1.070829174638535542e-03, 5.093700000000000000e+04
1.083280676669216153e-03, 4.765300000000000000e+04
1.095732178699896763e-03, 4.342700000000000000e+04
1.108183680730577374e-03, 3.887000000000000000e+04
1.120635182761257984e-03, 3.353400000000000000e+04
1.133086684791938595e-03, 2.844600000000000000e+04
1.145538186822619422e-03, 2.335200000000000000e+04
1.157989688853300033e-03, 1.906300000000000000e+04
1.170441190883980643e-03, 1.522000000000000000e+04
1.182892692914661254e-03, 1.255700000000000000e+04
1.195344194945341864e-03, 1.077200000000000000e+04
1.207795696976022475e-03, 1.043900000000000000e+04
1.220247199006703302e-03, 1.092300000000000000e+04
1.232698701037383913e-03, 1.245300000000000000e+04
1.245150203068064523e-03, 1.519600000000000000e+04
1.257601705098745134e-03, 1.893300000000000000e+04
1.270053207129425744e-03, 2.328400000000000000e+04
1.282504709160106355e-03, 2.791900000000000000e+04
1.294956211190787182e-03, 3.326700000000000000e+04
1.307407713221467793e-03, 3.807700000000000000e+04
1.319859215252148403e-03, 4.334800000000000000e+04
1.332310717282829014e-03, 4.745400000000000000e+04
1.344762219313509624e-03, 5.104900000000000000e+04
1.357213721344190235e-03, 5.383400000000000000e+04
1.369665223374871062e-03, 5.500700000000000000e+04
1.382116725405551673e-03, 5.541200000000000000e+04
1.394568227436232283e-03, 5.467300000000000000e+04
1.407019729466912894e-03, 5.278800000000000000e+04
1.419471231497593505e-03, 4.955800000000000000e+04
1.431922733528274115e-03, 4.581600000000000000e+04
1.444374235558954726e-03, 4.123400000000000000e+04
1.456825737589635553e-03, 3.582900000000000000e+04
1.469277239620316164e-03, 3.072300000000000000e+04
1.481728741650996774e-03, 2.568000000000000000e+04
1.494180243681677385e-03, 2.091200000000000000e+04
1.506631745712357995e-03, 1.706500000000000000e+04
1.519083247743038606e-03, 1.364600000000000000e+04
1.531534749773719433e-03, 1.139000000000000000e+04
1.543986251804400044e-03, 9.875000000000000000e+03
1.556437753835080654e-03, 1.035400000000000000e+04
1.568889255865761265e-03, 1.159400000000000000e+04
1.581340757896441875e-03, 1.347100000000000000e+04
