0.000000	1874088
0.000001	2025712
0.000002	1862304
0.000003	2047800
0.000004	1814016
0.000005	1115624
0.000006	6017191
0.000007	3307354
0.000008	-1333810
0.000009	3090234
0.000010	-4420286
0.000011	536352
0.000012	6883044
0.000013	-3499773
0.000014	-7643816
0.000015	-5356246
0.000016	-5642724
0.000017	-5229056
0.000018	-5179774
0.000019	-5610542
0.000020	-5359438
0.000021	-4482142
0.000022	-3910526
0.000023	-3773774
0.000024	-3764816
0.000025	-3770274
0.000026	-3876146
0.000027	-4381234
0.000028	-5263874
0.000029	-5634146
0.000030	-5203088
0.000031	-4959934
0.000032	-4824046
0.000033	-3845918
0.000034	-2776494
0.000035	-2594654
0.000036	-2600558
0.000037	-2620208
0.000038	-3230304
0.000039	-3556480
0.000040	-3039936
0.000041	-2978752
0.000042	-3523712
0.000043	-3342752
0.000044	-2853342
0.000045	-3046526
0.000046	-2765710
0.000047	-1440606
0.000048	-845278
0.000049	-1199950
0.000050	-765726
0.000051	-224528
0.000052	-1111262
0.000053	-1665424
0.000054	-658816
0.000055	-287390
0.000056	-1050190
0.000057	-965456
0.000058	-221902
0.000059	-57552
0.000060	149586
0.000061	789874
0.000062	1048800
0.000063	1100960
0.000064	1609570
0.000065	1877600
0.000066	1438672
0.000067	1226320
0.000068	1360096
0.000069	1240402
0.000070	1385346
0.000071	1961842
0.000072	2322482
0.000073	2833026
0.000074	3514626
0.000075	3343154
0.000076	2879296
0.000077	3266368
0.000078	3557376
0.000079	3039936
0.000080	2978752
0.000081	3523714
0.000082	3348338
0.000083	2965522
0.000084	3719730
0.000085	4754402
0.000086	4960882
0.000087	5143696
0.000088	5609646
0.000089	5359022
0.000090	4456606
0.000091	3721806
0.000092	3282592
0.000093	3304336
0.000094	3896834
0.000095	4423378
0.000096	4763314
0.000097	5366242
0.000098	5642738
0.000099	5229056
0.000100	5179776
0.000101	5616126
0.000102	5465614
0.000103	5012462
0.000104	4956238
0.000105	4447040
0.000106	3339232
0.000107	3315312
0.000108	4657874
0.000109	5497026
0.000110	5219970
0.000111	5179762
0.000112	5615710
0.000113	5439662
0.000114	4798206
0.000115	4276334
0.000116	3489374
0.000117	2862846
0.000118	3077662
0.000119	3066192
0.000120	2574288
0.000121	3024672
0.000122	3729346
0.000123	3175890
0.000124	2860690
0.000125	4137856
0.000126	5241568
0.000127	4858366
0.000128	3825758
0.000129	2670604
0.000130	1531196
0.000131	1077356
0.000132	1215806
0.000133	1126542
0.000134	920000
0.000135	1092864
0.000136	1223232
0.000137	992992
0.000138	940352
0.000139	1018894
0.000140	630176
0.000141	373712
0.000142	796766
0.000143	842798
0.000144	287742
0.000145	-50562
0.000146	-500192
0.000147	-937170
0.000148	-688388
0.000149	-729360
0.000150	-1460224
0.000151	-1598912
0.000152	-1270658
0.000153	-1492386
0.000154	-1846256
0.000155	-1987376
0.000156	-2562738
0.000157	-3138338
0.000158	-2761778
0.000159	-2457840
0.000160	-2996416
0.000161	-3093282
0.000162	-2629872
0.000163	-2585568
0.000164	-2600546
0.000165	-2625376
0.000166	-3310944
0.000167	-3898498
0.000168	-3626002
0.000169	-3511970
0.000170	-4435330
0.000171	-5469518
0.000172	-5456528
0.000173	-5012448
0.000174	-4956238
0.000175	-4447038
0.000176	-3334064
0.000177	-3234672
0.000178	-4316272
