0.000000	32781
0.000064	32854
0.000128	32804
0.000192	32574
0.000256	32250
0.000320	31987
0.000384	31868
0.000448	31839
0.000512	31801
0.000576	31742
0.000640	31742
0.000704	31864
0.000768	32059
0.000832	32209
0.000896	32260
0.000960	32280
0.001024	32365
0.001088	32518
0.001152	32645
0.001216	32667
0.001280	32623
0.001344	32619
0.001408	32702
0.001472	32802
0.001536	32821
0.001600	32754
0.001664	32699
0.001728	32734
0.001792	32824
0.001856	32863
0.001920	32808
0.001984	32729
0.002048	32726
0.002112	32804
0.002176	32868
0.002240	32839
0.002304	32753
0.002368	32717
0.002432	32775
0.002496	32856
0.002560	32859
0.002624	32781
0.002688	32718
0.002752	32747
0.002816	32832
0.002880	32868
0.002944	32810
0.003008	32730
0.003072	32726
0.003136	32804
0.003200	32867
0.003264	32838
0.003328	32752
0.003392	32716
0.003456	32774
0.003520	32855
0.003584	32859
0.003648	32781
0.003712	32718
0.003776	32748
0.003840	32834
0.003904	32870
0.003968	32812
0.004032	32731
0.004096	32728
0.004160	32806
0.004224	32869
0.004288	32839
0.004352	32754
0.004416	32718
0.004480	32776
0.004544	32857
0.004608	32860
0.004672	32783
0.004736	32720
0.004800	32749
0.004864	32835
0.004928	32871
0.004992	32813
0.005056	32733
0.005120	32729
0.005184	32807
0.005248	32871
0.005312	32841
0.005376	32755
0.005440	32720
0.005504	32778
0.005568	32858
0.005632	32861
0.005696	32783
0.005760	32720
0.005824	32750
0.005888	32836
0.005952	32871
0.006016	32813
0.006080	32732
0.006144	32729
0.006208	32807
0.006272	32870
0.006336	32840
0.006400	32754
0.006464	32719
0.006528	32777
0.006592	32858
0.006656	32861
0.006720	32784
0.006784	32721
0.006848	32751
0.006912	32836
0.006976	32872
0.007040	32814
0.007104	32733
0.007168	32730
0.007232	32808
0.007296	32871
0.007360	32841
0.007424	32756
0.007488	32720
0.007552	32778
0.007616	32859
0.007680	32862
0.007744	32784
0.007808	32721
0.007872	32750
0.007936	32836
0.008000	32872
0.008064	32813
0.008128	32733
0.008192	32730
0.008256	32808
0.008320	32871
0.008384	32841
0.008448	32755
0.008512	32720
0.008576	32779
0.008640	32859
0.008704	32861
0.008768	32783
0.008832	32719
0.008896	32749
0.008960	32834
0.009024	32869
0.009088	32810
0.009152	32729
0.009216	32726
0.009280	32805
0.009344	32867
0.009408	32837
0.009472	32752
0.009536	32717
0.009600	32776
0.009664	32857
0.009728	32860
0.009792	32782
0.009856	32720
0.009920	32751
0.009984	32837
0.010048	32872
0.010112	32813
0.010176	32733
0.010240	32730
0.010304	32808
0.010368	32871
0.010432	32840
0.010496	32754
0.010560	32718
0.010624	32776
0.010688	32856
0.010752	32858
0.010816	32780
0.010880	32717
0.010944	32748
0.011008	32835
0.011072	32871
0.011136	32813
0.011200	32733
0.011264	32731
0.011328	32810
0.011392	32873
0.011456	32843
0.011520	32757
0.011584	32722
0.011648	32781
0.011712	32861
0.011776	32863
0.011840	32784
0.011904	32722
0.011968	32752
0.012032	32838
0.012096	32873
0.012160	32814
0.012224	32733
0.012288	32731
0.012352	32809
0.012416	32871
0.012480	32840
0.012544	32754
0.012608	32719
0.012672	32778
0.012736	32858
0.012800	32860
0.012864	32781
0.012928	32719
0.012992	32750
0.013056	32836
0.013120	32872
0.013184	32813
0.013248	32733
0.013312	32731
0.013376	32810
0.013440	32872
0.013504	32841
0.013568	32755
0.013632	32720
0.013696	32779
0.013760	32860
0.013824	32862
0.013888	32783
0.013952	32721
0.014016	32752
0.014080	32838
0.014144	32873
0.014208	32814
0.014272	32734
0.014336	32732
0.014400	32810
0.014464	32872
0.014528	32842
0.014592	32756
0.014656	32721
0.014720	32781
0.014784	32861
0.014848	32863
0.014912	32784
0.014976	32722
0.015040	32753
0.015104	32838
0.015168	32873
0.015232	32813
0.015296	32733
0.015360	32731
0.015424	32809
0.015488	32871
0.015552	32840
0.015616	32754
0.015680	32719
0.015744	32778
0.015808	32858
0.015872	32860
0.015936	32781
0.016000	32719
0.016064	32750
0.016128	32836
0.016192	32871
0.016256	32811
0.016320	32731
0.016384	32729
0.016448	32808
0.016512	32870
0.016576	32839
0.016640	32753
0.016704	32719
0.016768	32778
0.016832	32858
0.016896	32860
0.016960	32782
0.017024	32720
0.017088	32751
0.017152	32837
0.017216	32872
0.017280	32812
0.017344	32732
0.017408	32730
0.017472	32808
0.017536	32870
0.017600	32839
0.017664	32753
0.017728	32718
0.017792	32778
0.017856	32859
0.017920	32861
0.017984	32782
0.018048	32721
0.018112	32753
0.018176	32839
0.018240	32873
0.018304	32814
0.018368	32734
0.018432	32732
0.018496	32811
0.018560	32873
0.018624	32841
0.018688	32755
0.018752	32721
0.018816	32780
0.018880	32860
0.018944	32861
0.019008	32782
0.019072	32720
0.019136	32751
0.019200	32837
0.019264	32871
0.019328	32811
0.019392	32731
0.019456	32730
0.019520	32808
0.019584	32870
0.019648	32839
0.019712	32753
0.019776	32719
0.019840	32778
0.019904	32858
0.019968	32859
0.020032	32780
0.020096	32719
0.020160	32750
0.020224	32836
0.020288	32870
0.020352	32810
0.020416	32731
0.020480	32730
0.020544	32809
0.020608	32870
0.020672	32839
0.020736	32753
0.020800	32719
0.020864	32779
0.020928	32859
0.020992	32861
0.021056	32782
0.021120	32721
0.021184	32753
0.021248	32839
0.021312	32873
0.021376	32813
0.021440	32733
0.021504	32732
0.021568	32810
0.021632	32871
0.021696	32839
0.021760	32753
0.021824	32719
0.021888	32779
0.021952	32858
0.022016	32859
0.022080	32780
0.022144	32719
0.022208	32750
0.022272	32836
0.022336	32869
0.022400	32809
0.022464	32730
0.022528	32729
0.022592	32808
0.022656	32869
0.022720	32838
0.022784	32752
0.022848	32718
0.022912	32778
0.022976	32858
0.023040	32859
0.023104	32780
0.023168	32718
0.023232	32750
0.023296	32836
0.023360	32870
0.023424	32810
0.023488	32730
0.023552	32729
0.023616	32808
0.023680	32870
0.023744	32837
0.023808	32752
0.023872	32718
0.023936	32778
0.024000	32858
0.024064	32859
0.024128	32780
0.024192	32718
0.024256	32750
0.024320	32836
0.024384	32870
0.024448	32810
0.024512	32730
0.024576	32730
0.024640	32809
0.024704	32870
0.024768	32838
0.024832	32752
0.024896	32719
0.024960	32779
0.025024	32859
0.025088	32859
0.025152	32780
0.025216	32719
0.025280	32751
0.025344	32837
0.025408	32871
0.025472	32811
0.025536	32732
0.025600	32732
0.025664	32812
0.025728	32873
0.025792	32841
0.025856	32755
0.025920	32721
0.025984	32781
0.026048	32860
0.026112	32860
0.026176	32781
0.026240	32720
0.026304	32752
0.026368	32838
0.026432	32871
0.026496	32811
0.026560	32732
0.026624	32731
0.026688	32811
0.026752	32872
0.026816	32840
0.026880	32754
0.026944	32721
0.027008	32782
0.027072	32862
0.027136	32862
0.027200	32783
0.027264	32722
0.027328	32755
0.027392	32840
0.027456	32873
0.027520	32813
0.027584	32733
0.027648	32733
0.027712	32812
0.027776	32872
0.027840	32840
0.027904	32753
0.027968	32720
0.028032	32780
0.028096	32860
0.028160	32860
0.028224	32780
0.028288	32719
0.028352	32752
0.028416	32838
0.028480	32871
0.028544	32811
0.028608	32732
0.028672	32732
0.028736	32812
0.028800	32873
0.028864	32841
0.028928	32756
0.028992	32723
0.029056	32784
0.029120	32863
0.029184	32862
0.029248	32782
0.029312	32721
0.029376	32753
0.029440	32838
0.029504	32871
