SES_fclk_1000_kHz__Wg_16_Ww_3_DF_16_AS_15.csv | SNR=62.085 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_3_DF_16_AS_15.csv | SNR=62.085 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_3_DF_16_AS_31.csv | SNR=67.721 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_3_DF_16_AS_31.csv | SNR=67.721 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_3_DF_32_AS_15.csv | SNR=37.063 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_3_DF_32_AS_15.csv | SNR=37.063 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_3_DF_32_AS_31.csv | SNR=44.080 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_3_DF_32_AS_31.csv | SNR=44.080 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_16_AS_15.csv | SNR=69.502 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_16_AS_15.csv | SNR=69.502 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_16_AS_31.csv | SNR=70.904 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_16_AS_31.csv | SNR=70.904 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_32_AS_15.csv | SNR=57.010 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_32_AS_15.csv | SNR=57.010 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_32_AS_31.csv | SNR=64.187 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_32_AS_31.csv | SNR=64.187 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_16_AS_15.csv | SNR=70.031 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_16_AS_15.csv | SNR=70.031 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_16_AS_31.csv | SNR=71.306 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_16_AS_31.csv | SNR=71.306 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_32_AS_15.csv | SNR=68.403 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_32_AS_15.csv | SNR=68.403 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_32_AS_31.csv | SNR=68.683 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_32_AS_31.csv | SNR=68.683 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_16_AS_15.csv | SNR=53.034 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_16_AS_15.csv | SNR=53.034 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_16_AS_31.csv | SNR=54.549 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_16_AS_31.csv | SNR=54.549 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_32_AS_15.csv | SNR=38.212 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_32_AS_15.csv | SNR=38.212 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_32_AS_31.csv | SNR=42.469 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_32_AS_31.csv | SNR=42.469 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_16_AS_15.csv | SNR=55.145 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_16_AS_15.csv | SNR=55.145 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_16_AS_31.csv | SNR=53.213 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_16_AS_31.csv | SNR=53.213 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_32_AS_15.csv | SNR=49.651 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_32_AS_15.csv | SNR=49.651 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_32_AS_31.csv | SNR=50.299 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_32_AS_31.csv | SNR=50.299 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_16_AS_15.csv | SNR=49.465 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_16_AS_15.csv | SNR=49.465 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_16_AS_31.csv | SNR=48.613 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_16_AS_31.csv | SNR=48.613 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_32_AS_15.csv | SNR=47.706 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_32_AS_15.csv | SNR=47.706 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_32_AS_31.csv | SNR=45.729 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_32_AS_31.csv | SNR=45.729 dB | Amp_dB,DSM raw bitstream | SQNR=71.047 dB | Freq_Hz,DSM raw bitstream | SQNR=71.047 dB | Amp_dB,DSM ideally filtered bitstream | SQNR=71.003 dB | Freq_Hz,DSM ideally filtered bitstream | SQNR=71.003 dB | Amp_dB
0,-46.1061818430856,0,-40.1541868873196,0,-45.0885295688865,0,-49.965892756082,0,-31.504487070088,0,-48.6809575796934,0,-48.175468392731,0,-64.7285042721279,0,-51.8546303525404,0,-45.7198941164896,0,-43.9361056564933,0,-48.7674558377465,0,-83.6364204559023,0,-91.856740206814,0,-104.725300582295,0,-97.8277402683668,0,-93.9476641917511,0,-83.4083251715195,0,-99.1052824017684,0,-93.1095748855345,0,-83.6504154630348,0,-99.229312245453,0,-85.9804437452881,0,-100.410446654576,0,-123.384774011773,0,-46.3037067613728
60.9756097560961,-46.1816328807432,60.9756097560961,-40.5324380646904,30.487804878048,-42.407638611957,30.487804878048,-49.3008653470885,60.9756097560961,-31.8252111524963,60.9756097560961,-48.9579114797649,30.487804878048,-48.8613815447177,30.487804878048,-64.5126461998485,60.9756097560961,-52.1343459416132,60.9756097560961,-46.0957302412951,30.487804878048,-44.2575917033547,30.487804878048,-49.0596517064467,60.9756097560961,-83.7794799221183,60.9756097560961,-92.4594611355553,30.487804878048,-101.522463730394,30.487804878048,-97.2031696123176,60.9756097560961,-94.5968291104162,60.9756097560961,-83.6655681452682,30.487804878048,-97.4336487099217,30.487804878048,-94.0897522836079,60.9756097560961,-84.1573948311809,60.9756097560961,-97.8745739483114,30.487804878048,-86.0511761409906,30.487804878048,-101.952369673558,122.0703125,-94.0551059669644,122.0703125,-49.6679700902327
121.951219512192,-55.8743479958122,121.951219512192,-51.744629882365,60.9756097560961,-45.385336729076,60.9756097560961,-54.4980436923987,121.951219512192,-42.580451793834,121.951219512192,-59.2829937433154,60.9756097560961,-62.5573270641676,60.9756097560961,-73.7840027401901,121.951219512192,-62.4437363099742,121.951219512192,-56.9957132324706,60.9756097560961,-55.0001760924587,60.9756097560961,-59.6207088407076,121.951219512192,-93.2357704454119,121.951219512192,-104.000335414647,60.9756097560961,-98.0150594003067,60.9756097560961,-102.414261378976,121.951219512192,-108.176213999195,121.951219512192,-94.3079865325874,60.9756097560961,-100.102448865162,60.9756097560961,-108.631632532653,121.951219512192,-95.6328215157793,121.951219512192,-103.003942169264,60.9756097560961,-95.8636303963638,60.9756097560961,-112.989870689677,244.140625,-94.3848539894889,244.140625,-60.4943793035278
182.926829268288,-68.9763456659714,182.926829268288,-80.9756919919724,91.4634146341441,-57.0317826907234,91.4634146341441,-61.1962643153911,182.926829268288,-64.0151311304117,182.926829268288,-75.6686946141272,91.4634146341441,-69.8365122125881,91.4634146341441,-76.7007342270147,182.926829268288,-75.4054759563698,182.926829268288,-78.2076727653918,91.4634146341441,-75.9720619659307,91.4634146341441,-79.6065466197197,182.926829268288,-106.290274482875,182.926829268288,-117.785813527684,91.4634146341441,-95.2233981373635,91.4634146341441,-104.757293558973,182.926829268288,-119.492387338703,182.926829268288,-118.180567628465,91.4634146341441,-104.029574843991,91.4634146341441,-118.589561080525,182.926829268288,-112.626099570884,182.926829268288,-112.164772039851,91.4634146341441,-116.925284853881,91.4634146341441,-112.709552430734,366.2109375,-98.6133027845915,366.2109375,-80.3802875052664
243.902439024384,-68.1690859601198,243.902439024384,-77.2613139596227,121.951219512192,-50.7373467833847,121.951219512192,-67.7286950680715,243.902439024384,-92.3587405120371,243.902439024384,-80.8661416567488,121.951219512192,-75.4824531230658,121.951219512192,-74.1051207204258,243.902439024384,-79.3602581643444,243.902439024384,-83.7379409119394,121.951219512192,-87.2240035460111,121.951219512192,-92.9210361159538,243.902439024384,-112.323941239765,243.902439024384,-113.352786750255,121.951219512192,-98.1254660359631,121.951219512192,-117.373624877357,243.902439024384,-124.609457705504,243.902439024384,-131.610533022346,121.951219512192,-110.512095045172,121.951219512192,-120.944000040844,243.902439024384,-118.599965064406,243.902439024384,-127.027092764427,121.951219512192,-114.857709160837,121.951219512192,-117.285948767991,488.28125,-95.6358904557191,488.28125,-87.7101091213159
304.87804878048,-71.1000105800051,304.87804878048,-83.6391276682498,152.43902439024,-49.3177074313611,152.43902439024,-62.775026921335,304.87804878048,-88.8348095836252,304.87804878048,-81.4930267517817,152.43902439024,-76.1634131910171,152.43902439024,-75.090673867592,304.87804878048,-78.7765222346598,304.87804878048,-81.2989119937132,152.43902439024,-88.0660989715087,152.43902439024,-84.5466314731411,304.87804878048,-113.409540911716,304.87804878048,-113.228977745555,152.43902439024,-107.548321066841,152.43902439024,-108.157025621804,304.87804878048,-123.444653662861,304.87804878048,-118.910872194718,152.43902439024,-117.61392477543,152.43902439024,-111.369008039795,304.87804878048,-118.002656806178,304.87804878048,-124.08769884633,152.43902439024,-112.516409154006,152.43902439024,-116.017254076986,610.3515625,-92.5100927127188,610.3515625,-84.6481957045438
365.853658536576,-76.9489014442103,365.853658536576,-76.132810186266,182.926829268288,-51.7426329954731,182.926829268288,-69.7304351388298,365.853658536576,-85.115131426538,365.853658536576,-97.9211784117814,182.926829268288,-70.8298987622986,182.926829268288,-77.1312124938453,365.853658536576,-75.4260764004738,365.853658536576,-93.7780639032063,182.926829268288,-90.2430070167076,182.926829268288,-81.2254581453837,365.853658536576,-106.717409243242,365.853658536576,-120.196011297874,182.926829268288,-100.076126249473,182.926829268288,-104.958543026543,365.853658536576,-119.223656612868,365.853658536576,-118.113563507434,182.926829268288,-116.190625923361,182.926829268288,-109.01614572514,365.853658536576,-119.597383134471,365.853658536576,-121.945734669113,182.926829268288,-117.70565932462,182.926829268288,-115.905956591173,732.421875,-89.7215696830422,732.421875,-81.8167080837253
426.829268292673,-80.7034302882174,426.829268292673,-75.7786731680628,213.414634146336,-48.5286265162913,213.414634146336,-58.6947447688883,426.829268292673,-77.5803872734879,426.829268292673,-82.1935892499476,213.414634146336,-69.99575755713,213.414634146336,-78.4246206967842,426.829268292673,-76.9814984908412,426.829268292673,-89.3469597487293,213.414634146336,-86.8708362822048,213.414634146336,-81.1169247655467,426.829268292673,-103.166409408472,426.829268292673,-119.264205172033,213.414634146336,-95.9029091548589,213.414634146336,-104.501386047466,426.829268292673,-122.016568060211,426.829268292673,-120.105634565848,213.414634146336,-116.427428897627,213.414634146336,-109.402879128582,426.829268292673,-131.609391474061,426.829268292673,-126.979317075106,213.414634146336,-131.26943711068,213.414634146336,-119.368529980478,854.4921875,-87.6753315156874,854.4921875,-79.778547772092
487.804878048769,-70.4403194030843,487.804878048769,-80.1326022120745,243.902439024384,-49.4464195796767,243.902439024384,-59.4516771304458,487.804878048769,-76.2181279816711,487.804878048769,-79.1063574268858,243.902439024384,-69.2045238175187,243.902439024384,-77.7226839887428,487.804878048769,-89.7281810225321,487.804878048769,-88.4483666711926,243.902439024384,-86.6942321976928,243.902439024384,-82.9122382564508,487.804878048769,-103.090648365358,487.804878048769,-115.643252503069,243.902439024384,-95.3095122466032,243.902439024384,-105.489353022632,487.804878048769,-122.16174258575,487.804878048769,-128.206099680794,243.902439024384,-113.675197766307,243.902439024384,-110.014611500913,487.804878048769,-117.841171666132,487.804878048769,-134.440262527919,243.902439024384,-130.531991393385,243.902439024384,-116.338608557665,976.5625,-89.7949633782085,976.5625,-81.9090445863982
548.780487804865,-69.4967330470794,548.780487804865,-78.4179904910087,274.390243902432,-57.0141894829256,274.390243902432,-59.8914085474418,548.780487804865,-78.6283892398004,548.780487804865,-81.5348563646323,274.390243902432,-68.8590010354086,274.390243902432,-80.3723315054055,548.780487804865,-82.7387665103968,548.780487804865,-83.0913107083634,274.390243902432,-84.5394545436059,274.390243902432,-87.6312936505664,548.780487804865,-105.043207565502,548.780487804865,-122.422833082165,274.390243902432,-96.9322053876054,274.390243902432,-110.422093936205,548.780487804865,-119.256108640697,548.780487804865,-121.68660071943,274.390243902432,-113.974281755681,274.390243902432,-111.992743698914,548.780487804865,-115.002296316464,548.780487804865,-132.105124040321,274.390243902432,-124.924667420508,274.390243902432,-116.000895488463,1098.6328125,-94.6264730376149,1098.6328125,-86.8678212170558
